"SY","ATTEND_PERIOD","DIST_CODE","DIST_NAME","ORG_CODE","ORG_NAME","ORG_TYPE","STU_GRP","ATTEND_RATE","CNT_AVG_ABS","PCT_ABS_10_DAYS","PCT_CHRON_ABS_10","PCT_CHRON_ABS_20","PCT_UNEXC_10_DAYS","DISTRICT_AND_SCHOOL"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","White","96.9%","3.3","7.7%","3.8%","0%","0%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","High Needs","96.7%","3.5","10.9%","7.4%","0%","4.8%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","English Learners",,,,,,,"Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Low Income","96.6%","3.6","11.4%","8.1%","0%","5.2%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Students with Disabilities","99.3%","0.7","1.1%","0%","0%","0%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Female","96%","4.3","13.3%","11.5%","0%","7.1%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810367","Chestnut Accelerated Middle School (Talented and Gifted)","School","Male","97.1%","3.1","7.4%","5.1%","0.6%","2.3%","Springfield - Chestnut Accelerated Middle School (Talented and Gifted)"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","All Students","91.3%","9.2","36.9%","35.2%","10%","4.8%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Black or African American","92.4%","8","33.3%","31.4%","7.8%","2%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Hispanic or Latino","90.8%","9.7","39.2%","37.3%","10.8%","6.4%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Multi-Race, Not Hispanic or Latino",,,,,,,"Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","White","92.7%","7.8","26.7%","26.7%","10%","0%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","High Needs","90.7%","9.8","39%","37.5%","11.6%","5.6%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","English Learners","89%","11.1","42.9%","38.1%","19%","9.5%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Low Income","90.6%","9.9","40.2%","38.5%","11.7%","5.4%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Students with Disabilities","90.8%","9.8","40.7%","37%","12.3%","7.4%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Female","91.2%","9.3","36.1%","34.2%","8.9%","4%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810475","Conservatory of the Arts","School","Male","91.5%","9","38.6%","37.5%","12.5%","6.8%","Springfield - Conservatory of the Arts"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","All Students","91.8%","8.5","31.9%","29.4%","7.4%","26.5%","Springfield - Daniel B Brunton"
"2026","March","02810000","Springfield","02810035","Daniel B Brunton","School","Asian",,,,,,,"Springfield - Daniel B Brunton"
